,text,old
187,['دلل عمل'],دليل العمل عن بعد
188,['كيف قيس فعل درب'],كيفية قياس فاعلية التدريب
189,['نظم'],المنظمات
190,['جمع رأسمالية'],مجتمع ما بعد الرأسمالية
191,['نظم هيكل عمل خرج'],المنظمات/هياكلها وعملياتها و مخرجاتها
192,['وظف رقب الي جزء'],وظيفة المراقب المالي (جزءان)
193,['حلل حدر خطي'], تحليل الانحدار الخطي
194,['عهد درة نشأ تطر'],معهد الإدارة نشأة وتطور
195,['درة عمل جزء'],إدارة العمليات ، (جزءان)
196,['عمل اجتماعية نظم تعق فاد وظف عئد درب عهد درة بحث'],بعض العوامل الاجتماعية والتنظيمية التي تعوق استفادة الموظف من عائدات التدريب في معهد الإدارة (بحث)
197,['درة جود شمل رعي صحة'],إدارة الجودة الشاملة في الرعاية الصحية
198,['كتب سعد عصر'],الكتاب السعودي المعاصر
199,['قيم هار درة'],تقييم مهارات الادارة
200,['رقب قضي عمل درة ملك'],الرقابة القضائية على أعمال الإدارة في المملكة
201,['ضغط عمل طبء بحث'],ضغوط العمل لدى الأطباء(بحث)
202,['اثر لامركزية وظف خدم دنة بحث'],أثر لامركزية التوظيف في الخدمة المدنية(بحث)
203,['عمل ؤثر نظم وظف دوم رسم ملك بحث'],العوامل المؤثرة في عدم انتظام الموظفين في الدوام الرسمي في المملكة(بحث)
204,['خدم كتب ملك بحث'],خدمات المكتبات في المملكة(بحث)
205,['نظم تأم صحي تعو ملك'],نظام التأمين الصحي التعاوني في المملكة
206,['حمي قنن لثب رأس مال شرك مول سعد'],الحماية القانونية لثبات رأس المال في شركات الأموال السعودية
207,['نظم حدث'],المنظمات الحديثة
208,['قاعد ملك عرب سعد'],المتقاعدون في المملكة العربية السعودية
209,['سلك دري'],السلوك الإداري
210,['خدم عمة وآل سوق'],الخدمات العامة وآليات السوق
211,['يزة حلف'],ميزة التحالف
212,['علم بدئ وتطبيقاته جزء'],التعلم ، مبادئه وتطبيقاته.(جزءان)
213,['حدد كلف اسس نشط ؤسس الة'],تحديد التكلفة على أساس النشاط في المؤسسات المالية
214,['قرر دري وتطبيقات ملك عرب سعد'],القرارات الإدارية وتطبيقاتها في المملكة العربية السعودية
215,['مذج بين قواعدالبيان حول اذج'],نمذجة البيانات في قواعدالبيانات والتحويل بين النماذج
216,['فرد ذوو شكل وكف عمل عهم'],الأفراد ذوو المشكلات وكيفية التعامل معهم
217,['درب قيد رجع نشط'],تدريب القيادات ..مرجع في الأنشطة
218,['الب علم علم حدث'],اساليب التعليم والتعلم الحديثة
219,['جمع صحة'],المجتمعات غير الصحية
220,['عدة هندس درة'],إعادة هندسة الإدارة
221,['امن شبك علم'],أمن شبكات المعلومات
222,['تحد درة قرن وحد عشر'],تحديات الإدارة في القرن الواحد والعشرين
223,['صحة عمة اهي وكف عمل'],الصحة العامة .. ماهي وكيف تعمل
224,['اصل حقق جني وتطبيقات ملك عرب سعد'],أصول التحقيق الجنائي وتطبيقاتها في المملكة العربية السعودية
225,['درة رعي صحة'],إدارة الرعاية الصحية
226,['درب تمز'],المدرب المتميز
227,['قوم رمج سيس اجتماعية'],تقويم البرامج والسياسات الاجتماعية
228,['رعي صحة ولي بمد ريض بحث'],الرعاية الصحية الأولية بمدينة الرياض(بحث)
229,['صمم نظم درب طور'],تصميم نظم التدريب والتطوير
230,['خطط نمى'],التخطيط التنموى
231,['وقع فاد حسب الى بحث'],واقع الاستفادة من الحاسب الآلى(بحث)
232,['عوق بحث علم جال علم دري بحث'],معوقات البحث العلمي في مجال العلوم الادارية(بحث)
233,['رضا وظف عمل قطع صحي بحث'],الرضا الوظيفي لدى العاملين في القطاع الصحي(بحث)
234,['درة عمل درب'],إدارة عملية التدريب
235,['حكم أدب وظف'],أحكام تأديب الموظفين
236,['طبق عمل حسب حكم ٢'],تطبيقات عملية في المحاسبة الحكومية (٢(
237,['درة الكترونيه آفق طبق ملك عرب سعد'],الإدارة الإلكترونيه وآفاق تطبيقاتها في المملكة العربية السعودية
238,['نظر نظم بدع'],نظرية المنظمة المبدعة
239,['حسب جهز حكم'],المحاسبة في الاجهزة الحكومية
240,['تجه شبب عودى علم فني بحث'],إتجاهات الشباب السعودى نحو التعليم الفني(بحث)
241,['حصء بلا عنا جزء'],الإحصاء بلا معاناة(جزءان)
242,['درة شيد تخصص'],إدارة التشييد المتخصصة
243,['جود شمل درة علم'],الجودة الشاملة في إدارة المعلومات
244,['قيد دري نظر طبق'],القيادة الإدارية ـ النظرية والتطبيق
245,['درب قيد'],التدريب للقيادة
246,['شار دري'],الاستشارات الإدارية
247,['رقب حصئ عمل'],الرقابة الإحصائية على العمليات
248,['جود بلا عنا'],الجودة بلا معاناة
249,['دور شرف ربو تحس عمل علم بحث'],دور المشرفة التربوية في تحسين العملية التعليمية(بحث)
250,['خرج ازم'],الخروج من الأزمة
251,['قوم قصد رقم'],مقومات الاقتصاد الرقمي
252,['حلل درى نظم عمة'],التحليل الإدارى فى المنظمات العامة
253,['نظر عقد دري'],نظرية العقود الإدارية
254,['درة جود علم علي'],إدارة الجودة في التعليم العالي
255,['قيم طبء خدم رعي صحة ولي بحث'],تقييم الأطباء لخدمات الرعاية الصحية الأولية(بحث)
256,['ؤشر رضا سفد خدم برد بمد ريض بحث'],مؤشر رضا المستفدين عن الخدمات البريدية بمدينة الرياض(بحث)
257,['نقل عام دخل مدن كبرى ملك بحث'],النقل العام داخل المدن الكبرى في المملكة(بحث)
258,['رضا عملاءع جودةالخدم قدم خطط سعد بحث'],رضا العملاءعن جودةالخدمات المقدمة من الخطوط السعودية(بحث)
259,['ذكء حوسب وتطبيقاته ياد جار عمل'],الذكاء المحوسب وتطبيقاته في ميادين التجارة والأعمال
260,['سيح نطق شرق'],السياحة في المنطقة الشرقية
261,['تحس جود ادء رعي صحة'],تحسين الجودة والأداء في الرعاية الصحية
262,['رضا فيد خدم بلد دين ريض درس يدن'],رضا المستفيدين من الخدمات البلدية في مدينة الرياض(دراسة ميدانية)
263,['بيروقراطية'],البيروقراطية
264,['عمل ؤثر رغب ترك كدر طبة'],العوامل المؤثرة فى الرغبة فى ترك الكوادر الطبية
265,['عمل شفي بحث'],العمل فى المستشفيات(بحث)
266,['عوق قوم طبق درة جود كله'],معوقات ومقومات تطبيق إدارة الجودة الكليه
267,['نبؤ بيع'],التنبؤ بالمبيعات
268,['بحث قدة'],البحث عن القادة
269,['درة طور مشاريع رمج'],إدارة وتطوير مشاريع البرمجيات
270,['وقع عمل شغل صين ذتي عقد'],واقع أعمال التشغيل والصيانة الذاتية والتعاقدية
271,['رمج اسك ملك مدى فاد وظف حكم'],برامج الإسكان في المملكه ومدى استفادة الموظفين الحكومين منها
272,['الب كمة درة رعي صحة'],الإساليب الكمية في إدارة الرعاية الصحية
273,['قصد نمي ظل نظم جار علم'],الاقتصاديات النامية في ظل منظمة التجارة العالمية
274,['ثقف نظم عمل مفاهيم اسس طبق'],ثقافة منظمات الأعمال.المفاهيم والأسس والتطبيقات
275,['خدم حرم شرف رؤة شمل إدر نمي'],خادم الحرمين الشريفين الرؤية الشاملة لإدارة التنمية
276,['ؤلف كلاسيكية درة عمة جزأ'],مؤلفات كلاسيكية في الإدارة العامة (جزأين)
277,['حلل بين اقتصادية'],تحليل البيانات الاقتصادية
278,['عهد درة عمة نشأ تطر جلز'],معهد الإدارة العامة نشأة وتطور - إنجليزي
279,['طور نظم حكم درة جلز'],تطوير أنظمة الحكم والإدارة - إنجليزي
280,['عهد درة عمة نشأ تطر عرب فخر'],معهد الإدارة العامة نشأة وتطور - عربي فاخر
281,['عهد درة نشأ تطر _عرب عدي'],معهد الإدارة نشأة وتطور _عربي عادي
282,['طور نظم حكم درة عرب عدي'],تطوير أنظمة الحكم والإدارة - عربي عادي
283,['طور نظم حكم درة _عرب فخر'],تطوير أنظمة الحكم والإدارة _عربي فاخر
284,['كشف لغش لعب قئم الة'],اكتشاف الغش والتلاعب في القوائم المالية
285,['خصخص خدم صرف صحي الب اثارالمترتبة'],خصخصة خدمات الصرف الصحي اساليبها والاثارالمترتبة عليها
286,['قيد شخص إدر ربي'],قيادة الأشخاص وإدارتهم في التربية
287,['درة جود جنب نظر جرب وقع'],إدارة الجودة جوانب نظرية وتجارب واقعية
288,['حمي قنن بيئ ملك عرب سعد'],الحماية القانونية للبيئة في المملكة العربية السعودية
289,['ؤلف كلاسيكية درة عمة'],مؤلفات كلاسيكية في الادارة العامة
290,['قان دري ملك عرب سعد'],القانون الإداري في المملكة العربية السعودية
291,['عوق درة ازم درس درس علم'],معوقات إدارة الازمات المدرسية في مدارس التعليم
292,['درة حدث لشئ وظف حكم'],الإدارة الحديثة لشئون الموظفين الحكوميين
293,['قيد ربو خطط قني'],القيادة التربوية والتخطيط للتقنية
294,['ثقف نظم قيد'],الثقافة التنظمية والقيادة
295,['اسس جدد حلل كلف نفع'],أسس جديدة في تحليل التكلفة والمنفعة
296,['سسي فوض'],أساسيات التفاوض
297,['دخل هني إدر ورد بشر وذج'],المدخل المهني لإدارة الموارد البشرية النموذجية
298,['ثقف دري سيق علم'],الثقافة الإدارية في سياق عالمي
299,['اثب جني قان قرن فقة سلم'],الإثبات الجنائي في القانون المقارن والفقة الاسلامي
300,['درة حدث مشاريع باستخدام قيم كسب'],الإدارة الحديثة للمشاريع باستخدام القيم المكتسبة
301,['نظم نظم صحة'],التنظيم في المنظمات الصحية
302,['قوة كمن شبك اجتماعية'],القوة الكامنة للشبكات الاجتماعية
303,['تطر نظم حكم درة جهد نمي دري ملك طبع'],تطور أنظمة الحكم والإدارة وجهود التنمية الإدارية في المملكة (الطبعة الثانية)
304,['تطر نظم حكم درة جهد نمي دري جلز طبع ثني'],تطور أنظمة الحكم والإدارة وجهود التنمية الإدارية (انجليزي) طبعة ثانية
305,['وسط شرح نظم قضي جدد'],الوسيط في شرح التنظيم القضائي الجديد
306,['حسب ضرب زكي'],المحاسبة الضربيية والزكوية
307,['جرب نمي دري جلس تعا خلج'],تجارب التنمية الإدارية في مجلس التعاون الخليجي
308,['حلل قصد رعي صحة'],التحليل الاقتصادي في الرعاية الصحية
309,['قيد نظم ربح'],القيادة في المنظمات غير الربحية
310,['عجم سسي صطلح دري عرب قدم عصر'],المعجم الاساسي في المصطلحات الادارية العربية القديمة والمعاصرة
311,['كتب ؤمر عهد درة ٣ جزء'],كتاب مؤتمر معاهد الادارة الثاني (٣ اجزاء)
312,['درة استراتيجية ادء خدم عمة'],الإدارة الإستراتيجية واداء الخدمة العامة
313,['رضا فيد خدم شفي وزر صحه'],رضا المستفيدين عن خدمات مستشفيات وزارة الصحه
314,['دلل صمم نفذ بحث علم اجتماعية'], دليل تصميم وتنفيذ البحوث في العلوم الاجتماعية
315,['شفر قيد قعد خمس قيد'],شفرة القيادة القواعد الخمس للقيادة
316,['عقد درة وديناميكي غير تحد طبق ارض وقع'],التعقيد والإدارة وديناميكيات التغيير تحديات التطبيق على أرض الواقع
317,['درة عرف نظم عمل'],إدارة المعرفة . النظم والعمليات
318,['جنب اقتصادية الة يزن عمة دول'],الجوانب الاقتصادية والمالية في الميزانية العامة للدولة
319,['درب قيد'],تدريب القيادات
320,['سسي خير عين بحث علم'],اساسيات اختيار العينة في البحوث العلمية
321,['درة جود خدم قني علم وجه نظر ادء عمل عمل'],ادارة الجودة لخدمات تقنية المعلومات وجهات نظر حول اداء الاعمال والعمليات
322,['فست بدع بكر تحس جرء طور'],فاست الابداع والابتكار: تحسين الاجراءات وتطوير
323,['جرم فسد نظم لمذ حدث الذ يجب فعل بشأ'],الجريمة والفساد في المنظمات .لماذا تحدث وماالذي يجب فعله بشأنها
324,['خطط خدم صحة'],تخطيط الخدمات الصحية
325,['حصء طبق مفاهيم سسي حلل حصئ'],الاحصاء التطبيقي المفاهيم الاساسية والتحليل الاحصائي
326,['مبادىء رمج باستخدام لغة جفا اسس نظر طبق عمل'],مبادىء البرمجة باستخدام لغة الجافا أسس نظرية وتطبيقات عملية
327,['حلل سيس عمة'],تحليل السياسات العامة
328,['شرك ذكة خمس خطو نجح'],الشركة الذكية.خمس خطوات الى النجاح
329,['بطق ادء توز خطة خطو ؤسس'],بطاقة الاداء المتوازن خطوة بخطوة للمؤسسات
330,['خدم عملاء الكترونية'],خدمة العملاء الإلكترونية
331,['استراتيجي سوق خدم قطع عام'],استراتيجيات التسويق لخدمات القطاع العام
332,['تحل كترو رسخ استراتيجي نمي حدث'],التحول الالكتروني ترسيخ استراتيجيات التنمية الحديثة
333,['حلل حدر خطي طبع ثني'],تحليل الانحدار الخطي (طبعة ثانية)
334,['كشف بين'],استكشاف البيانات
335,['وقع تقن كبي حدث شكل'],واقع التقنيات المكتبية الحديثة ومشكلاتها
336,['حوكم قطع عام'],الحوكمة ..في القطاع العام
337,['سلم رضى وجد رعي'],سلامة المرضى وجودة الرعاية
338,['اثر طبق حكم اكترونية حقق شفف اكترونية'],أثر تطبيق الحكومة الإكترونية في تحقيق الشفافية الإكترونية
339,['درة عرف كمدخل عزز بدع نظم'],ادارة المعرفة. كمدخل لتعزيز الابداع التنظيمي
340,['سئل حوكم شرك'],مسائل حوكمة الشركات
341,['خدم حرم شرف ملك سلم عبدالعزيز ال سعد رئد نمي حدث'],خادم الحرمين الشريفين الملك سلمان بن عبدالعزيز آل سعود رائد التنمية الحديثة
342,['قيد حول عوق طبق جهز'],القيادة التحويلية ومعوقات تطبيقها في الأجهزة
